part,label,customer_id
2,1,59006240
2,0,59006242
2,0,59006244
2,1,59006246
2,0,59006248
2,0,59006250
2,1,59006252
2,1,59006254
2,0,59006256
2,0,59006258
2,0,59006260
2,0,59006262
2,0,59006264
2,0,59006266
2,0,59006268
2,0,59006270
2,0,59006272
2,1,59006274
2,1,59006276
2,1,59006278
2,0,59006280
2,0,59006282
2,0,59006284
2,0,59006286
2,0,59006288
2,0,59006290
2,1,59006292
2,0,59006294
2,1,59006296
2,1,59006298
2,0,59006300
2,0,59006302
2,0,59006304
2,0,59006306
2,0,59006308
2,0,59006310
2,0,59006312
2,0,59006314
2,1,59006316
2,0,59006318
2,0,59006320
2,0,59006322
2,0,59006324
2,0,59006326
2,0,59006328
2,1,59006330
2,0,59006332
2,1,59006334
2,0,59006336
2,0,59006338
2,0,59006340
2,0,59006342
2,0,59006344
2,0,59006346
2,0,59006348
2,0,59006350
2,0,59006352
2,0,59006354
2,0,59006356
2,1,59006358
2,0,59006360
2,0,59006362
2,1,59006364
2,0,59006366
2,0,59006368
2,1,59006370
2,0,59006372
2,1,59006374
2,1,59006376
2,0,59006378
2,0,59006380
2,0,59006382
2,0,59006384
2,0,59006386
2,0,59006388
2,0,59006390
2,0,59006392
2,1,59006394
2,0,59006396
2,0,59006398
2,1,59006400
2,0,59006402
2,0,59006404
2,0,59006406
2,0,59006408
2,1,59006410
2,0,59006412
2,0,59006414
2,0,59006416
2,0,59006418
2,0,59006420
2,0,59006422
2,0,59006424
2,0,59006426
2,1,59006428
2,0,59006430
2,0,59006432
2,0,59006434
2,0,59006436
2,0,59006438
2,0,59006440
2,0,59006442
2,1,59006444
2,1,59006446
2,0,59006448
2,0,59006450
2,0,59006452
2,0,59006454
2,0,59006456
2,0,59006458
2,0,59006460
2,1,59006462
2,1,59006464
2,0,59006466
2,0,59006468
2,0,59006470
2,0,59006472
2,0,59006474
2,0,59006476
2,0,59006478
2,1,59006480
2,0,59006482
2,0,59006484
2,0,59006486
2,1,59006488
2,0,59006490
2,0,59006492
2,0,59006494
2,0,59006496
2,0,59006498
2,0,59006500
2,1,59006502
2,0,59006504
2,0,59006506
2,1,59006508
2,0,59006510
2,0,59006512
2,0,59006514
2,0,59006516
2,0,59006518
2,0,59006520
2,0,59006522
2,1,59006524
2,0,59006526
2,0,59006528
2,0,59006530
2,1,59006532
2,0,59006534
2,0,59006536
2,0,59006538
2,0,59006540
2,0,59006542
2,0,59006544
2,1,59006546
2,0,59006548
2,0,59006550
2,1,59006552
2,0,59006554
2,0,59006556
2,0,59006558
2,0,59006560
2,0,59006562
2,0,59006564
2,0,59006566
2,0,59006568
2,0,59006570
2,0,59006572
2,0,59006574
2,0,59006576
2,1,59006578
2,0,59006580
2,1,59006582
2,0,59006584
2,1,59006586
2,1,59006588
2,0,59006590
2,0,59006592
2,0,59006594
2,0,59006596
2,0,59006598
2,1,59006600
2,1,59006602
2,0,59006604
2,0,59006606
2,0,59006608
2,1,59006610
2,0,59006612
2,1,59006614
2,0,59006616
2,0,59006618
2,0,59006620
2,0,59006622
2,0,59006624
2,1,59006626
2,0,59006628
2,0,59006630
2,1,59006632
2,0,59006634
2,0,59006636
2,0,59006638
2,0,59006640
2,0,59006642
2,0,59006644
2,1,59006646
2,0,59006648
2,0,59006650
2,0,59006652
2,0,59006654
2,0,59006656
2,1,59006658
2,0,59006660
2,0,59006662
2,0,59006664
2,1,59006666
2,1,59006668
2,0,59006670
2,0,59006672
2,0,59006674
2,1,59006676
2,0,59006678
2,0,59006680
2,0,59006682
2,0,59006684
2,0,59006686
2,0,59006688
2,1,59006690
2,0,59006692
2,0,59006694
2,0,59006696
2,0,59006698
2,0,59006700
2,0,59006702
2,1,59006704
2,0,59006706
2,0,59006708
2,1,59006710
2,0,59006712
2,1,59006714
2,0,59006716
2,1,59006718
2,0,59006720
2,0,59006722
2,1,59006724
2,0,59006726
2,1,59006728
2,0,59006730
2,0,59006732
2,0,59006734
2,0,59006736
2,0,59006738
2,1,59006740
2,0,59006742
2,0,59006744
2,0,59006746
2,1,59006748
2,1,59006750
2,0,59006752
2,0,59006754
2,0,59006756
2,0,59006758
